brand_string,brand_id,symbol_id,url,preprocessed_index
ALPINE,30436,12007,https://www.amazon.com/Alpine-UTE-73BT-Bluetooth-Receiver-43CSC6934/dp/B07JX9X4M4,15222
KRETSCHMER,30436,12007,https://www.amazon.com/Kretschmer-Wheat-Germ-Honey-Crunch/dp/B00ESX7MT2,15781
KRETSCHMER,30436,12007,https://www.amazon.com/Kretschmer-Wheat-Germ-Honey-Crunch/dp/B00ESX7MT2,15781
KRUSTEAZ,30436,12007,https://www.amazon.com/Krusteaz-Protein-Muffin-Chocolate-Chip/dp/B08FTJH245,16125
SNOQUALMIE FALLS LODGE,30436,12007,https://www.amazon.com/dp/B00FPMG8CC/,26315
DAISY,30419,12008,https://www.amazon.com/Daisy-980415-222/dp/B00EWK00EA/,1258
EGGLANDS BEST,30428,12009,https://www.amazon.com/Egglands-Best-Large-Organic-Brown/dp/B00AR7HCMK/,4909
NATURES HARMONY,30428,12009,https://www.amazon.com/Wolf-Magic-Natures-Harmony/dp/B00004S9BU,3213
CETAPHIL,30397,12010,https://www.amazon.com/Cetaphil-Daily-Facial-Cleanser-Normal/dp/B001ET79H8,9751
DIFFERIN,30397,12010,https://www.amazon.com/Differin-Gentle-Cleanser-Sensitive-Skin/dp/B01M4GR5E0/,10944
SNOWS,30398,12011,https://www.amazon.com/dp/B008Y130UE,26528
SWEET SUE,30398,12011,https://www.amazon.com/Sweet-Sue-Chicken-Broth-Ounce/dp/B019YHTNW0,47060
BEACH CLIFF,30399,12011,https://www.amazon.com/Sardines-Caught-Protein-Snacks-Gluten/dp/B08LMNXLMB,7410
BRUNSWICK,30399,12011,https://www.amazon.com/Cue-Case-Sales-SG_B0001B1LRE_US-Centennial/dp/B0001B1LRE,30815
BUMBLE BEE,30399,12011,https://www.amazon.com/Bumble-Bee-Smoked-Skinless-Canola/dp/B00EX9CVB0,32966
LIBBYS,30399,12011,https://www.amazon.com/Libbys-Naturals-Green-Beans-Sugar/dp/B0040PWXX8,11402
ORLEANS,30399,12011,https://www.amazon.com/Still-One-Orleans/dp/B000002H7X,9057
O CEDAR,30434,12012,https://www.amazon.com/dp/B0B69NN2RS,15
PLAYTEX,30434,12012,https://www.amazon.com/Playtex-Womens-Plus-Size-Seamless/dp/B0007YYBAE,15150
VILEDA,30434,12012,https://www.amazon.com/Vileda-Floor-Mop-42-Multi-Coloured/dp/B07NS27RYB,6840
AXELROD,30351,12013,https://www.amazon.com/dp/B0964TDKQH,37145
BOOTH BROTHERS,30351,12013,https://www.amazon.com/Then-Met-Master-Booth-Brothers/dp/B00VX21XAA,25447
CROWLEY,30351,12013,https://www.amazon.com/EVIL-BRIDE/dp/B0892G1VZB,32510
EMPIRE,30351,12013,https://www.amazon.com/Invert-Helix-Thermal-Paintball-Goggles/dp/B00M9HSK4A,9163
GREENS,30351,12013,https://www.amazon.com/dp/B084PZWF7F/,18282
HAGAN,30351,12013,https://www.amazon.com/Quanah-Comanche-Oklahoma-Western-Biographies/dp/0806127724,797
HOOD,30351,12013,https://www.amazon.com/dp/B01BV161N6,19885
PLANET OAT,30351,12013,https://www.amazon.com/dp/B07KNKDBJ2,14329
HONEST EARTH,30429,12015,https://www.amazon.com/dp/B083SLZ34N,19190
IDAHOAN,30429,12015,https://www.amazon.com/-/es/Idahoan-reales-primera-calidad-porciones/dp/B00BTL3AK6,2394
NOBRAND,30418,12016,https://www.amazon.com/Cosplay-Cowboy-Holster-Masquerade-Vintage/dp/B07ZZ8VDZV,10812
JOHNSONVILLE,30420,12017,https://www.amazon.com/dp/B0BFT5JZ37,9099
NOBRAND,30420,12017,https://www.amazon.com/Cosplay-Cowboy-Holster-Masquerade-Vintage/dp/B07ZZ8VDZV,10812
PRIMO,30420,12017,https://www.amazon.com/Primo-Black-Bottom-Cooler-Dispenser/dp/B07CLQC7SR,22315
VERMONT,30420,12017,https://www.amazon.com/Vermont-Red-Stage-Tennis-Ball/dp/B079ZVPVY1,4451
VERMONT SMOKE & CURE,30420,12017,https://www.amazon.com/Vermont-Smoke-Cure-Meat-Sticks/dp/B01LNPCEP4,4468
KENS,30409,12018,https://www.amazon.com/dp/B014N8YSES,6013
KENS STEAK HOUSE,30409,12018,https://www.amazon.com/dp/B08C7VXD5T/,6018
LILYS,30409,12018,https://www.amazon.com/Chocolate-Lilys-Sweetened-Low-Carb-Gluten-Free/dp/B07HL95NCG,13565
