,,brand_jarowinkler,preprocessed_values
408,406,1.0,"['HEALTHY SENSE', 'HEALTH PLUS HEART CLEANSE']"
422,421,1.0,"['HIGH POINT DESIGN DISNEY PRINCESS', 'HIGH POINT DESIGN DISNEY PLANES']"
423,421,1.0,"['HIGH POINT DESIGN DREAMWORKS TROLLS', 'HIGH POINT DESIGN DISNEY PLANES']"
423,422,1.0,"['HIGH POINT DESIGN DREAMWORKS TROLLS', 'HIGH POINT DESIGN DISNEY PRINCESS']"
424,421,1.0,"['HIGH POINT DISNEY TIM BURTONS THE NIGHTMARE BEFORE CHRISTMAS', 'HIGH POINT DESIGN DISNEY PLANES']"
424,422,1.0,"['HIGH POINT DISNEY TIM BURTONS THE NIGHTMARE BEFORE CHRISTMAS', 'HIGH POINT DESIGN DISNEY PRINCESS']"
452,28,1.0,"[""JANAKI'S"", 'ANAIS']"
452,449,1.0,"[""JANAKI'S"", 'JACKS']"
470,466,1.0,"['KAUAI COFFEE', 'KALDIS COFFEE']"
480,478,1.0,"['KIMS', 'KIEHLS']"
481,477,1.0,"['KINDER JOY', 'KIDNEY PRO']"
482,480,1.0,"['KINGS', 'KIMS']"
483,482,1.0,"['KINGSFORD MATCH LIGHT', 'KINGS']"
489,480,1.0,"['KLIM', 'KIMS']"
500,499,1.0,"['LA MEXICANA', 'LA HACIENDA']"
501,499,1.0,"['LA MOLIENDA', 'LA HACIENDA']"
501,500,1.0,"['LA MOLIENDA', 'LA MEXICANA']"
502,501,1.0,"['LA SIRENA', 'LA MOLIENDA']"
503,501,1.0,"['LA TEE DA', 'LA MOLIENDA']"
517,502,1.0,"['LEASEN', 'LA SIRENA']"
532,515,1.0,"['LODGE', 'LD']"
535,534,1.0,"['LOREAL INFALLIBLE FRESH WEAR', 'LOREAL']"
536,534,1.0,"['LOREAL MAGIC SKIN BEAUTIFIER', 'LOREAL']"
536,535,1.0,"['LOREAL MAGIC SKIN BEAUTIFIER', 'LOREAL INFALLIBLE FRESH WEAR']"
537,514,1.0,"['LUCKS', 'LC']"
543,49,1.0,"['MACUHEALTH', 'AUROHEALTH']"
550,549,1.0,"['MARC JACOBS PERFECT', 'MARC JACOBS DOT']"
553,552,1.0,"['MARLBORO RICH BLUE', 'MARLBORO MEDIUM']"
558,556,1.0,"['MASTERS', 'MASI']"
558,557,1.0,"['MASTERS', 'MASTER OF THE ARTS']"
563,562,1.0,"['MCCALLS CANDLES', 'MCCAIN']"
565,564,1.0,"['MCCORMICK SPICE CLASSICS', 'MCCORMICK INSTANT POT']"
589,588,1.0,"['MOTHERS RECIPE', 'MOTHER INDIA']"
601,600,1.0,"['NAIL TEK', 'NAIL ROCK']"
605,603,1.0,"['NATURAL BALANCE LIMITED INGREDIENT DIETS', 'NATUR BAG']"
605,604,1.0,"['NATURAL BALANCE LIMITED INGREDIENT DIETS', 'NATURAL BALANCE CHOW DOWN CHOWDER']"
606,604,1.0,"['NATURAL BALANCE ULTRA FAT DOGS', 'NATURAL BALANCE CHOW DOWN CHOWDER']"
606,605,1.0,"['NATURAL BALANCE ULTRA FAT DOGS', 'NATURAL BALANCE LIMITED INGREDIENT DIETS']"
